"V1","V2","V3"
-7.6406088840068,-1.20997755061569,3.77662037499249
3.43922891956877,-9.52993044678723,-0.958251138217747
2.3268046667059,-3.61149619093238,-9.24706744961441
-2.83745605633115,-3.08805107854534,-9.59771720226854
0.923508349637379,-9.84144344130928,-5.58945601806045
-0.819980592739176,-6.79275074610861,-5.40241728071123
5.10563295152468,-6.44675800247471,-3.85742057580501
1.92877204461424,-6.85937102506884,0.374577874317765
4.56847487876097,-4.63229500803244,1.57072347123176
1.67224735938735,-6.37890138364742,5.29343909118325
2.72884815300535,-4.56562811767216,-6.15937393624336
-8.09882512717627,-7.11845968181776,8.96076631266624
3.03325638883358,-8.65118381597777,-1.75248257350177
4.00108242703438,-5.87387973483263,0.406383294612169
-2.70551354250422,-6.60636603597372,-0.475310087203979
2.21622905938344,-9.15506304944117,2.71540842950344
-6.08438571779595,-3.65713252246508,5.64634910784662
-6.30677642434194,-3.55492085812444,9.23113686963916
-1.48561794698041,-6.34270442222218,-3.21423932909966
-9.6255356822079,-9.98552670405621,6.96405407041311
-2.36519779931092,-7.21110244787772,-9.57808568142354
-1.72587599460231,-8.79744090161287,2.71195281296968
4.59443761525339,-7.23317904041563,6.04807550553232
-4.26674254223948,-3.52665190151986,-6.98653967119753
-5.13965024005507,-4.89088971307439,-4.39464688301086
-8.69477191001636,-0.957964468972806,-5.41972458362579
-2.46927509242118,-9.73082842150813,0.0521994661539793
-7.79929588499249,-5.88313581818084,6.03649973403662
-5.53359122531179,-9.87077779942202,2.83402367960662
-7.99467106480923,-9.67791156012008,-7.95689867343754
-0.300297498701187,-2.84994664946179,5.69651111029088
-6.87464699032676,-2.91358635907155,0.516291605308652
-6.89531758820352,-3.81074746118134,2.12865189183503
-9.39050305511138,-9.92822222376581,-4.63424003217369
3.16983361235556,-7.5211342688173,8.82391778752208
1.31437783803264,-1.43276536289169,1.2509037181735
-5.05386176028718,-3.38642223644049,-1.38649836648256
0.754057393462844,-8.49038363499869,-2.3804583074525
-1.54625787035912,-9.13542958163345,-9.38726161140949
3.7059068679196,-3.17916134265939,-9.10310565494001
-2.02162189864734,-9.78684671994955,-6.46702764090151
-6.12055987313395,-1.53457926212089,-1.47914876230061
-1.36041800638306,-2.5788990445077,1.03410905692726
-7.8436204642808,-1.0650078260704,7.36241194885224
1.57268834699215,-7.71374090026472,-6.83900312986225
-7.31317222900207,-8.79420775725679,-3.10877408832312
-6.63528571191112,-4.53038438415103,-9.87265008501709
4.54430969829828,-3.66046949606316,2.47948196250945
2.02453017741252,-3.7909245279304,-6.77044786512852
1.69569618943854,-7.00338900136582,-7.23660741001368
-2.82438576446754,-6.28605730368822,6.17381824180484
-3.94957072827958,-9.12601634314444,1.13072154577821
-7.14547936859022,-2.78884733177489,-8.32169414963573
-9.77657073940161,-4.71738119650967,-8.07977842632681
-3.55665707410373,-1.81362437760658,-4.15591675322503
-8.96927147525253,-0.805684002690729,7.14954520575702
-6.89801042107992,-3.42511470016983,-2.2696841834113
3.61404269307899,-5.78397795046017,-7.10612004157156
2.13686445037244,-7.33135672359352,1.92906316835433
-5.61020552957448,-0.880302197966943,-3.6181809566915
0.696587704875288,-0.770928692344391,4.94957816321403
-7.31086857786223,-7.98146332402919,-0.577493384480476
-6.77098154928429,-1.08310519816212,5.66693764179945
0.759616272656089,-3.99899146870015,-9.97868304606527
-5.44680734882122,-6.16587662291396,9.14618516806513
-8.16582469998547,-1.11303977641403,4.43648940883577
-3.08150853684148,-4.13891619913522,7.39913773257285
-3.87876374724546,-7.17527052202568,-0.67514122929424
-6.22137284156458,-8.73331215903078,7.4463731655851
-5.1532331200396,-0.898080103400735,-2.26824717130512
-7.10936964115821,-7.86165018079159,-7.60264335200191
-9.27671881056079,-3.25532197599449,6.85420803260058
-3.72851195800971,-4.26407092228149,5.55437668692321
-2.90660238306713,-7.66235792407658,0.589391835965216
-0.554479717192045,-1.67340929162078,2.90182237979025
1.72724791232136,-9.41894883329047,4.76288146339357
-2.77274064494419,-0.971088352442486,8.65853964816779
-4.95789850818401,-2.29321613923337,4.20349775347859
-1.01482421116641,-3.40271184576678,5.47301759012043
-4.64318739929258,-9.21236626754032,1.48183396551758
-6.23260889527098,-6.34377161052683,4.20972147025168
-4.024870755261,-6.68043916416029,7.68928892444819
-5.55676589928977,-6.71225979690542,-9.40413744654506
-5.8635610200317,-7.21755380551757,4.65211985632777
5.29063683768702,-9.98536941664315,2.26350635755807
0.79399163604843,-7.31270989476659,6.45044075790793
-6.79703916636645,-9.56098581723852,8.68631112854928
-0.444575358253688,-8.15611692156767,-1.67579559143633
3.99348105962944,-5.94118359011814,-5.36713067442179
-8.83872574232866,-7.82901067289028,-2.1966690197587
-4.74044698474477,-7.82366644529446,-3.62521490547806
-2.77820621782678,-1.98597991721606,3.54433308821172
-5.37374052220952,-9.10663877284219,8.60816324595362
-5.60598046368242,-1.8047375961725,-1.85131086502224
